plant.species,Family,Genus,Sp2,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,reference,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil,sugar.concentration,pollen.flower
Diplotaxis tenuifolia,Brassicaceae,Diplotaxis,tenuifolia,E,biotic,5,5,herb,0.6,,1,dish_bowl,actinomorph,1,1,0,14.21,NA
Dipsacus fullonum,Caprifoliaceae,Dipsacus,fullonum,N,biotic,2,7,herb,2,,0,brush,no_symmetry,1,1,0,51.45,NA
Echinacea purpurea,Asteraceae,Echinacea,purpurea,E,biotic,3,7,herb,1.5,,1,dish_bowl,actinomorph,1,1,0,2349.55,NA
Echium vulgare,Boraginaceae,Echium,vulgare,N,biotic,6,5,herb,0.9,,1,bell_trumpet,actinomorph,1,1,0,41.17,88400
Eruca vesicaria,Brassicaceae,Eruca,vesicaria,N,biotic,2,5,herb,0.6,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Fabaceae sp.,Fabaceae,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Filipendula ulmaria,Rosaceae,Filipendula,ulmaria,N,biotic,3,6,herb,1.2,,1,dish_bowl,actinomorph,1,1,0,0,NA
Foeniculum vulgare,Apiaceae,Foeniculum,vulgare,E,biotic,4,7,herb,2,,1,dish_bowl,actinomorph,1,1,0,423.24,NA
Galega officinalis,Fabaceae,Galega,officinalis,N,biotic,3,6,herb,1.2,,1,flag,sigomorph,1,1,0,NA,NA
Galium mollugo,Rubiaceae,Galium,mollugo,N,biotic,5,6,herb,1.5,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Genista tinctoria,Fabaceae,Genista,tinctoria,N,biotic,3,6,herb,0.4,,1,flag,sigomorph,1,1,0,33.96,28108
Gentiana macrophylla,Gentianaceae,Gentiana,macrophylla,E,biotic,2,8,herb,0.6,,1,bell_trumpet,actinomorph,1,1,0,NA,NA
Geum urbanum,Rosaceae,Geum,urbanum,N,biotic,4,5,herb,0.6,,1,dish_bowl,actinomorph,1,1,0,29.8,NA
Nepeta sp.,Lamiaceae,Nepeta,sp.,NA,biotic,NA,NA,herb,NA,,NA,gullet,sigomorph,1,1,1,NA,NA
Nepeta saccharata,Lamiaceae,Nepeta,saccharata,E,biotic,2,3,herb,0.3,lubera.com,NA,gullet,sigomorph,1,1,1,NA,NA
